date,Vrms,Irms,Power
Sat Jan 16 2016 00:00:00 GMT-0800 (PST),115.706212462,11.5404796752,1335.30519321
Sat Jan 16 2016 00:02:00 GMT-0800 (PST),121.886498544,11.3930800665,1388.66263693
Sat Jan 16 2016 00:04:00 GMT-0800 (PST),119.929441641,11.3046641598,1355.76206062
Sat Jan 16 2016 00:06:00 GMT-0800 (PST),120.313647636,11.6945743243,1407.0168945
Sat Jan 16 2016 00:08:00 GMT-0800 (PST),119.997324715,11.0690864182,1328.26075722
Sat Jan 16 2016 00:10:00 GMT-0800 (PST),117.96829125,12.0145495318,1417.3358784
Sat Jan 16 2016 00:12:00 GMT-0800 (PST),120.830889671,11.3240065392,1368.28978477
Sat Jan 16 2016 00:14:00 GMT-0800 (PST),121.744732488,11.0851116811,1349.55395621
Sat Jan 16 2016 00:16:00 GMT-0800 (PST),120.084936415,11.4844872258,1379.11391827
Sat Jan 16 2016 00:18:00 GMT-0800 (PST),120.282776963,11.9361411711,1435.71220628
Sat Jan 16 2016 00:20:00 GMT-0800 (PST),120.342178583,11.1844455794,1345.96054727
Sat Jan 16 2016 00:22:00 GMT-0800 (PST),120.011846299,11.1884456663,1342.74602163
Sat Jan 16 2016 00:24:00 GMT-0800 (PST),119.064639414,12.2363341988,1456.91471913
Sat Jan 16 2016 00:26:00 GMT-0800 (PST),120.932686063,11.9978350697,1450.93042192
Sat Jan 16 2016 00:28:00 GMT-0800 (PST),121.994562858,11.0754508107,1351.14478011
Sat Jan 16 2016 00:30:00 GMT-0800 (PST),119.796568626,11.2311857931,1345.45751961
Sat Jan 16 2016 00:32:00 GMT-0800 (PST),118.453426496,11.5027615116,1362.54151521
Sat Jan 16 2016 00:34:00 GMT-0800 (PST),114.891538986,11.8458631723,1360.98945049
Sat Jan 16 2016 00:36:00 GMT-0800 (PST),119.170768415,11.2125490127,1336.20808173
Sat Jan 16 2016 00:38:00 GMT-0800 (PST),120.781792078,11.2997872559,1364.80855488
Sat Jan 16 2016 00:40:00 GMT-0800 (PST),118.543939253,12.0428884589,1427.6114379
Sat Jan 16 2016 00:42:00 GMT-0800 (PST),121.169115495,11.3013117761,1369.36995184
Sat Jan 16 2016 00:44:00 GMT-0800 (PST),117.894349708,12.275817542,1447.24952625
Sat Jan 16 2016 00:46:00 GMT-0800 (PST),124.789082664,10.6528425526,1329.35844991
Sat Jan 16 2016 00:48:00 GMT-0800 (PST),119.020604015,11.4215762269,1359.40290133
Sat Jan 16 2016 00:50:00 GMT-0800 (PST),117.945349779,11.9814572185,1413.15716249
Sat Jan 16 2016 00:52:00 GMT-0800 (PST),121.690274794,11.2202801918,1365.39897981
Sat Jan 16 2016 00:54:00 GMT-0800 (PST),121.305720846,11.9758653966,1452.7409847
Sat Jan 16 2016 00:56:00 GMT-0800 (PST),119.915080902,11.2076202529,1343.96268934
Sat Jan 16 2016 00:58:00 GMT-0800 (PST),121.100529105,11.0636212641,1339.8103889
Sat Jan 16 2016 01:00:00 GMT-0800 (PST),121.427445741,11.495828,1395.90903072
Sat Jan 16 2016 01:02:00 GMT-0800 (PST),118.414171964,11.2044133654,1326.761331
Sat Jan 16 2016 01:04:00 GMT-0800 (PST),123.253578227,11.2790021456,1390.17737328
Sat Jan 16 2016 01:06:00 GMT-0800 (PST),121.210077336,11.4842711432,1392.00939341
Sat Jan 16 2016 01:08:00 GMT-0800 (PST),124.106785191,11.5056425584,1427.92830947
Sat Jan 16 2016 01:10:00 GMT-0800 (PST),116.529519198,11.9720377732,1395.09580554
Sat Jan 16 2016 01:12:00 GMT-0800 (PST),123.279163931,11.7537856473,1448.99686762
Sat Jan 16 2016 01:14:00 GMT-0800 (PST),118.563593509,11.2368338888,1332.27940552
Sat Jan 16 2016 01:16:00 GMT-0800 (PST),119.498116213,11.5906607912,1385.06213021
Sat Jan 16 2016 01:18:00 GMT-0800 (PST),117.318356152,12.0289431956,1411.21584196
Sat Jan 16 2016 01:20:00 GMT-0800 (PST),121.886248844,11.7147283193,1427.86429107
Sat Jan 16 2016 01:22:00 GMT-0800 (PST),121.426990765,11.9833184839,1455.09830288
Sat Jan 16 2016 01:24:00 GMT-0800 (PST),117.648774736,11.4988460303,1352.82514634
Sat Jan 16 2016 01:26:00 GMT-0800 (PST),123.384296352,11.4776569316,1416.16262427
Sat Jan 16 2016 01:28:00 GMT-0800 (PST),120.095986937,11.817286041,1419.20863
Sat Jan 16 2016 01:30:00 GMT-0800 (PST),119.562586672,11.3115113987,1352.433562
Sat Jan 16 2016 01:32:00 GMT-0800 (PST),124.813933413,11.0210071654,1375.57525449
Sat Jan 16 2016 01:34:00 GMT-0800 (PST),118.956647705,11.6011154126,1380.02979913
Sat Jan 16 2016 01:36:00 GMT-0800 (PST),116.57243734,12.1285312246,1413.8524462
Sat Jan 16 2016 01:38:00 GMT-0800 (PST),123.140348098,11.0772123989,1364.05179075
Sat Jan 16 2016 01:40:00 GMT-0800 (PST),122.871131856,11.7173203332,1439.72041167
Sat Jan 16 2016 01:42:00 GMT-0800 (PST),120.906860838,11.5221390796,1393.10566626
Sat Jan 16 2016 01:44:00 GMT-0800 (PST),120.626332459,11.2955394231,1362.53949375
