date,Vrms,Irms,Power
Sat Jan 16 2016 00:00:00 GMT-0800 (PST),120.68136236,4.96863532369,599.62167993
Sat Jan 16 2016 00:02:00 GMT-0800 (PST),125.426655647,4.8809392956,612.199892262
Sat Jan 16 2016 00:04:00 GMT-0800 (PST),118.124183723,5.53785228724,654.154281011
Sat Jan 16 2016 00:06:00 GMT-0800 (PST),117.478969497,5.61442606094,659.576987956
Sat Jan 16 2016 00:08:00 GMT-0800 (PST),122.267328786,4.72696353463,577.953204647
Sat Jan 16 2016 00:10:00 GMT-0800 (PST),120.417539656,4.79533037116,577.441885132
Sat Jan 16 2016 00:12:00 GMT-0800 (PST),119.471187953,4.88568301565,583.698353839
Sat Jan 16 2016 00:14:00 GMT-0800 (PST),120.397662628,5.1192369922,616.344168302
Sat Jan 16 2016 00:16:00 GMT-0800 (PST),121.474693169,5.18882366431,630.31076253
Sat Jan 16 2016 00:18:00 GMT-0800 (PST),122.820013611,5.00878940621,615.179583044
Sat Jan 16 2016 00:20:00 GMT-0800 (PST),118.911880368,5.17114383069,614.910436561
Sat Jan 16 2016 00:22:00 GMT-0800 (PST),121.84944619,5.28399877041,643.852323841
Sat Jan 16 2016 00:24:00 GMT-0800 (PST),120.298963405,4.97143278849,598.058211092
Sat Jan 16 2016 00:26:00 GMT-0800 (PST),119.117874823,5.59211012093,666.120273384
Sat Jan 16 2016 00:28:00 GMT-0800 (PST),119.168520841,5.21893133469,621.932327525
Sat Jan 16 2016 00:30:00 GMT-0800 (PST),121.989110956,4.97720172703,607.164413727
Sat Jan 16 2016 00:32:00 GMT-0800 (PST),120.775845466,5.3244280411,643.062298286
Sat Jan 16 2016 00:34:00 GMT-0800 (PST),121.874429468,4.95609174246,604.020853505
Sat Jan 16 2016 00:36:00 GMT-0800 (PST),121.829429007,4.74984343631,578.67071372
Sat Jan 16 2016 00:38:00 GMT-0800 (PST),117.957165146,5.10746296613,602.461852574
Sat Jan 16 2016 00:40:00 GMT-0800 (PST),118.123776463,5.31810420492,628.19455231
Sat Jan 16 2016 00:42:00 GMT-0800 (PST),119.881413897,4.80761290593,576.343432632
